2017.09.03.b,2017,9,3,ZAF,Shellfish_Hunting_Activity,Unknown,Unprovoked,I,M,Y
2017.09.03.a,2017,9,3,JPN,Board_Activity,Unknown,Unprovoked,I,M,N
2017.09.02.c,2017,9,2,USA,Swimming_Activity,Nurse,Unprovoked,I,M,N
2017.09.02.b,2017,9,2,USA,Swimming_Activity,Unknown,Unprovoked,I,F,N
2017.09.02.a,2017,9,2,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2017.08.29,2017,8,29,AUS,Board_Activity,Great_White,Unprovoked,I,M,N
2017.08.27,2017,8,27,USA,Wading_Activity,Unknown,Unprovoked,I,F,N
2017.08.26.a,2017,8,26,NZL,Paddle_Boat_Activity,Unknown,Unprovoked,I,M,N
2017.08.23,2017,8,23,USA,Board_Activity,Great_White,Unprovoked,I,M,N
2017.08.18,2017,8,18,BHS,Spearfishing_Activity,Unknown,Unprovoked,I,M,N
2017.08.10,2017,8,10,USA,Swimming_Activity,Unknown,Unprovoked,I,M,N
2017.08.05,2017,8,5,EGY,Snorkeling_Activity,Oceanic_Whitetip,Unprovoked,I,F,N
2017.08.03,2017,8,3,USA,Fishing_Activity,Unknown,Provoked,I,M,N
2017.08.01,2017,8,1,USA,Paddle_Boat_Activity,Great_White,Boating,I,M,N
2017.07.31,2017,7,31,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2017.07.29.a,2017,7,29,USA,Unknown_Activity,Unknown,Unprovoked,I,F,N
2017.07.27,2017,7,27,BHS,Snorkeling_Activity,Unknown,Unprovoked,I,F,N
2017.07.26.R,2017,7,26,BHS,Spearfishing_Activity,Unknown,Unprovoked,I,M,N
2017.07.24,2017,7,24,OTH,Board_Activity,Unknown,Unprovoked,I,M,N
2017.07.23.b,2017,7,23,USA,Unknown_Activity,Sand_Tiger,Unprovoked,I,F,N
2017.07.23.a,2017,7,23,ESP,Swimming_Activity,Great_Blue,Unprovoked,I,F,N
2017.07.22,2017,7,22,USA,Unknown_Activity,Unknown,Unprovoked,I,F,N
2017.07.20.b,2017,7,20,USA,Paddle_Boat_Activity,Great_White,Boating,I,M,N
2017.07.20.a,2017,7,20,USA,Board_Activity,Great_White,Unprovoked,I,M,N
2017.07.14.b,2017,7,14,USA,Board_Activity,Great_White,Unprovoked,I,U,N
2017.07.14.a,2017,7,14,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2017.07.11,2017,7,11,USA,Paddle_Boat_Activity,Great_White,Boating,I,M,N
2017.07.09,2017,7,9,USA,Swimming_Activity,Bull,Unprovoked,I,M,N
2017.07.07.R,2017,7,7,MEX,Fishing_Activity,Tiger,Provoked,I,M,N
2017.07.07,2017,7,7,ZAF,Board_Activity,Great_White,Unprovoked,I,F,N
2017.06.21,2017,6,21,USA,Swimming_Activity,Unknown,Unprovoked,I,F,N
2017.06.19,2017,6,19,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2017.06.18.b,2017,6,18,USA,Swimming_Activity,Bull,Unprovoked,I,F,N
2017.06.18.a,2017,6,18,REU,Board_Activity,Bull,Unprovoked,I,U,N
2017.06.17,2017,6,17,ESP,Swimming_Activity,Unknown,Unprovoked,I,M,N
2017.06.05,2017,6,5,PYF,Board_Activity,Unknown,Unprovoked,I,M,N
2017.06.14.R,2017,6,14,BHS,Feeding_Activity,Unknown,Unprovoked,I,F,N
2017.06.11,2017,6,11,AUS,Board_Activity,Great_White,Unprovoked,I,M,N
